Participant,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,,,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,,,,,,,,,,,,,,,,,,,,,,,
P002,1,1,1,0,2,1,2,3,2,0,1,,,2,1,1,1,1,1,2,2,1,0,0,0,1,6,0,1,2,1,1,1,0,2,2,1,0,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
Participant,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,,,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,,,,,,,,,,,,,,,,,,,,,,,
P002,1,1,1,0,2,1,2,3,2,0,1,,,2,1,1,1,1,1,2,2,1,0,0,0,1,6,0,1,2,1,1,1,0,2,2,1,0,4,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
Participant,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,,,,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,,,,,,,,,,,,,,,,,,,,,,,,
P004,0,0,1,0,0,0,0,0,0,0,,,,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,3,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,
Participant,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,,,,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,,,,,,,,,,,,,,,,,,,,,,,
P005,0,0,2,0,1,1,0,0,1,1,,,,1,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,0,2,1,2,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,
Participant,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,BeforeEvent3,,,,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,AfterEvent3,,,,,,,,,,,,,,,,,,,,,,,
P007,2,0,3,2,2,1,1,4,3,1,,,,1,3,2,1,2,1,2,1,1,3,3,2,0,1,1,1,1,1,1,0,3,0,1,2,0,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,
